Index,Bankrupt?, ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Research and development expense rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ¥), Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Total Asset Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Inventory Turnover Rate (times), Fixed Assets Turnover Frequency, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Current Asset Turnover Rate, Quick Asset Turnover Rate, Working capitcal Turnover Rate, Cash Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability,Cluster_ID
0,0,0.450397309,0.504034017,0.506986455,0.594639588,0.594639588,0.998905537,0.797293037,0.809239142,0.303488755,0.781491378,8010000000.0,0.0,0.462633888,0.000414041,0.0,0.178753529,0.178753529,0.178753529,0.20487851,0.318455118,0.029432672,0.087615015,0.16072908,0.021975238,0.847242468,0.68837111,0.68837111,0.217462057,6720000000.0,0.000426495,0.263435671,0.377035133,0.00975036,0.005754928,0.630234175,0.005869103,0.115609033,0.884390967,0.005180489,0.372957594,0.005919738,0.087628446,0.159716462,0.398019622,0.140929535,0.002140546,0.002953671,0.000138337,0.000162647,0.032741935,0.015463478,0.389091156,0.012668676,0.778115712,0.153374891,0.259177395,0.069737919,0.005650027,0.007309909,0.050257335,0.342192633,0.277531686,0.01093818,0.403584389,0.733788068,0.328358814,0.016590223,0.927051004,0.002077176,0.017202295,6500000000.0,3880000000.0,0.59393539,5450000000.0,0.671586291,0.457496849,0.403584389,0.328358814,0.117688423,0.666103393,0.464341731,0.570384529,0.318116311,0.029918535,0,0.780554329,0.004919312,0.623633775,0.594641021,0.838868677,0.279035542,0.026788158,0.565144055,1,0.032463577,0
1,0,0.530005362,0.572884867,0.574763103,0.605694807,0.605557878,0.999058059,0.797512168,0.809399285,0.303552563,0.781665133,0.000102454,272000000.0,0.464667052,0.000140014,0.259439214,0.200412962,0.200412962,0.200412962,0.235605559,0.324503077,0.047158825,0.116602883,0.193115915,0.022143603,0.848120646,0.689612601,0.689612803,0.217617934,6770000000.0,0.000503779,0.264237592,0.381347565,0.011341618,0.008709436,0.630654717,0.005874575,0.115669498,0.884330502,0.005411828,0.370860668,0.009225407,0.1165828,0.191395822,0.405505993,0.16191904,0.000566078,0.011177669,0.000109867,0.000285956,0.04,0.021547229,0.398928111,0.00898356,0.829014393,0.482054643,0.610928858,0.064894254,0.008669647,0.003394063,0.101202869,0.348803891,0.277235316,0.007250499,0.824851349,0.737243657,0.330566645,0.00210529,0.950851955,0.002451375,0.01852312,0.0001481,0.000119948,0.593966554,4450000000.0,0.671578456,0.265439546,0.824851349,0.330566645,0.112923874,0.654555993,0.461815272,0.595347531,0.316348047,0.025789656,0,0.819963004,0.00596763,0.624171281,0.605690059,0.841868914,0.279039827,0.026800956,0.565204691,1,0.032441724,0
3,0,0.48340077,0.556694287,0.536163606,0.602444544,0.602444544,0.999035412,0.797458077,0.809380276,0.303505674,0.781632571,7530000000.0,0.0,0.45236909,0.000268027,0.0,0.179217058,0.179217058,0.179217058,0.227474709,0.25963783,0.043090279,0.110251608,0.182044136,0.02215928,0.849000731,0.690847658,0.690847658,0.217952641,0.000108475,0.000482019,0.264386787,0.295965128,0.008397478,0.000698077,0.631990658,0.025663192,0.218943677,0.781056323,0.00658688,0.399979422,0.005365848,0.110207305,0.181087399,0.435777033,0.106446777,0.002416483,0.002616377,162000000.0,0.000782219,0.047258065,0.062647063,0.407543927,0.010340089,0.818119495,0.068259661,0.866373537,0.049627671,0.000557052,0.001372235,0.191852433,0.317865075,0.278599256,0.02059108,0.83914723,0.742511443,0.345391307,0.004295493,0.933711203,0.002403215,0.010379019,0.000403094,2660000000.0,0.59399578,6160000000.0,0.671583019,0.057977775,0.83914723,0.345391307,0.124182006,0.65409553,0.460586412,0.404612049,0.318515828,0.034617321,0,0.806477353,0.00217696,0.621609919,0.602444319,0.841891305,0.293390791,0.027063119,0.566189747,1,0.015405672,0
4,0,0.510359284,0.537287396,0.552545639,0.600023062,0.600023062,0.999009183,0.797405508,0.809313355,0.303468452,0.781613904,6270000000.0,2360000000.0,0.462167535,0.000409041,0.732057901,0.194766339,0.194766339,0.194766339,0.234376477,0.319445427,0.090339852,0.115625763,0.177976953,0.022059831,0.847995231,0.689160174,0.689160174,0.217590601,5590000000.0,0.000424699,0.263489288,0.374371298,0.009247397,0.008378801,0.631458816,0.007031799,0.128609003,0.871390997,0.007174392,0.372080799,0.005710125,0.114555344,0.176834326,0.399742505,0.287856072,0.001444615,0.004379699,0.00126242,0.002158288,0.06483871,0.095415889,0.407396938,0.005093819,0.809457441,0.612446645,0.614336367,0.275644299,0.008961593,0.011759865,0.124174052,0.342800793,0.277039043,0.001094615,0.914600608,0.736222295,0.331974497,0.0,0.933201617,0.00224621,0.034974687,7010000000.0,7560000000.0,0.593934807,981000000.0,0.671565437,0.065429197,0.914600608,0.331974497,0.110933234,0.617999599,0.454356454,0.573563511,0.310453737,0.031509132,0,0.799276895,0.001124064,0.623992713,0.600018828,0.840313219,0.27987845,0.02687994,0.565548925,1,0.028857869,0
6,0,0.465070931,0.53368949,0.516944162,0.594740483,0.594740483,0.998962386,0.797392642,0.809312574,0.30354362,0.781571799,2460000000.0,25500000.0,0.46190584,0.000743074,0.51533556,0.179469892,0.179469892,0.179469892,0.214900255,0.319303954,0.013279489,0.095269115,0.170520449,0.022311448,0.848157279,0.689712983,0.689712983,0.217629684,5670000000.0,0.000446085,0.264142015,0.379028352,0.00833882,0.001752992,0.649043849,0.014823225,0.183420504,0.816579496,0.005642612,0.381240172,0.005556571,0.095290439,0.169542267,0.412982987,0.037481259,0.000462601,0.013697554,1090000000.0,0.000152813,0.02,0.056372369,0.392279686,0.046430298,0.804444652,0.259962932,0.70201655,0.039685347,0.002956679,0.001342597,0.156716409,0.341929029,0.278126155,0.014247344,0.815194833,0.737743394,0.336999105,0.001664987,0.931492791,0.002246091,0.00393624,0.000747781,0.000278754,0.59406023,0.000110772,0.671530956,0.128754501,0.815194833,0.336999105,0.113807976,0.6237671,0.456596849,0.572140223,0.309892797,0.034853514,0,0.796315229,0.054012581,0.6133229,0.594735853,0.840085104,0.285529212,0.029521363,0.568791144,1,0.019155337,0
7,0,0.476332082,0.534507196,0.526580652,0.610984592,0.609182894,0.999040842,0.79738116,0.809311792,0.303359446,0.781569834,0.000177965,263000000.0,0.466903198,0.000291029,0.0,0.174918882,0.174918882,0.174918882,0.214805711,0.324043291,0.013914727,0.10039899,0.169993221,0.022073659,0.847985702,0.689133629,0.689133629,0.217562836,6380000000.0,0.000440295,0.263572433,0.385902165,0.006356922,0.004307618,0.633985836,0.005825331,0.115095081,0.884904919,0.005203764,0.374145293,0.005365848,0.100379436,0.168999321,0.39918786,0.070464768,0.00048492,0.013047729,8270000000.0,9460000000.0,0.021290323,0.005640174,0.393444291,0.0077829,0.755785896,0.231111521,0.301147287,0.019118704,0.004772337,0.001146843,0.088177883,0.352662756,0.279027469,0.004446882,0.72076248,0.732271932,0.329989813,0.006660374,0.931564141,0.002234685,0.02111899,0.000166572,0.000131303,0.593922377,2920000000.0,0.671563905,0.393512972,0.72076248,0.329989813,0.114063672,0.635830435,0.457715393,0.609689445,0.313481902,0.045315456,0,0.796530771,0.000551827,0.623563475,0.610983816,0.840084566,0.279003869,0.044600359,0.569914995,1,0.032626481,0
8,0,0.514113002,0.566779328,0.565340757,0.613312386,0.613312386,0.999153963,0.797617722,0.809496933,0.303536128,0.781769554,0.000131016,469000000.0,0.473198963,0.000179018,0.154367851,0.210147065,0.210147065,0.210147065,0.2312565,0.333274386,0.01836139,0.111717287,0.185659411,0.022115585,0.848062968,0.689601868,0.689600338,0.217602709,6880000000.0,0.000464351,0.264218166,0.390344995,0.009045214,0.006555315,0.630816016,0.003776252,0.086343985,0.913656015,0.005274454,0.373070548,0.006560154,0.111721791,0.184669331,0.397761055,0.064467766,0.000710134,0.008906271,6970000000.0,870000000.0,0.019032258,0.011010091,0.399029873,0.016982847,0.780637746,0.250131082,0.324360466,0.037732651,0.006793249,0.002954306,0.067444711,0.366600236,0.277360076,0.006167661,0.727300651,0.733675796,0.328696064,0.006272352,0.93813288,0.002517348,0.011735276,0.000203593,0.000160733,0.59396447,6460000000.0,0.67157157,0.393043355,0.727300651,0.328696064,0.113672571,0.642379287,0.459115458,0.638581131,0.314493636,0.032198762,0,0.815698137,0.00306821,0.624210291,0.61331342,0.841335501,0.277517807,0.026846957,0.565411119,1,0.044359183,0
10,0,0.474918344,0.53368949,0.529739279,0.601976102,0.601976102,0.99896227,0.797381021,0.809314787,0.303523559,0.781567448,0.000140961,7420000000.0,0.462868742,0.000140014,0.0,0.176351608,0.176351608,0.176351608,0.214616621,0.319162481,0.012402257,0.095269115,0.169993221,0.022084294,0.847934694,0.689195,0.689195,0.217566493,6360000000.0,0.000441892,0.263898796,0.377715063,0.009063934,0.004084283,0.632849208,0.003958635,0.089246304,0.910753696,0.00518808,0.373851164,0.005365848,0.095274154,0.168984239,0.399178482,0.070464768,0.001809826,0.003492488,3480000000.0,8250000000.0,0.019677419,0.008895025,0.391985708,0.013555285,0.790928956,0.204896475,0.435557199,0.032718875,0.0041387,0.001922046,0.090050943,0.344861066,0.277786062,0.013067452,0.943968239,0.734310506,0.329586734,0.001157939,0.937875415,0.002242013,0.013041646,0.00024893,0.000117296,0.593975075,5060000000.0,0.671581475,0.429477803,0.943968239,0.329586734,0.111618064,0.65060025,0.461423945,0.576953451,0.315592892,0.03213287,0,0.796865414,0.003257345,0.623102722,0.601977769,0.840101288,0.277649892,0.037216642,0.569733495,1,0.04284071,0
11,0,0.442499878,0.507195813,0.494940843,0.598906009,0.598812321,0.998926797,0.797298294,0.809235757,0.303453467,0.78148408,0.000125813,7100000000.0,0.454061716,0.000287029,0.0,0.170199317,0.170199317,0.170199317,0.206296681,0.311381481,0.022853427,0.091604918,0.163214582,0.022040615,0.847802044,0.688825672,0.688825672,0.217520676,7010000000.0,0.000422004,0.263226644,0.361694795,0.011515721,0.008200383,0.630023904,0.005763321,0.114339269,0.885660731,0.007366104,0.376006245,0.008547212,0.091797352,0.162619712,0.397128706,0.133433283,0.001294472,0.004887775,0.000455136,0.00071716,0.030645161,0.043526284,0.38703331,0.006969074,0.80686766,0.434823203,0.429274778,0.009646615,0.01130956,0.000725298,0.070253348,0.327843922,0.27700576,0.000887964,0.57546011,0.735712128,0.32920328,0.011885331,0.928632968,0.002143165,0.029600597,0.00012597,0.000133714,0.593960264,809000000.0,0.671571903,0.083269907,0.57546011,0.32920328,0.11880928,0.642320732,0.459139981,0.51676242,0.314473669,0.025404261,0,0.780904873,0.009172737,0.624087282,0.598903338,0.838903365,0.278958815,0.026642694,0.564334789,1,0.032862358,0
12,0,0.54170526,0.608046228,0.590127951,0.59917266,0.59917266,0.999012418,0.797511891,0.809413477,0.303647309,0.781679308,4580000000.0,543000000.0,0.462801641,0.000523052,0.141917198,0.20129788,0.20129788,0.20129788,0.248085468,0.321249204,0.065777334,0.111065874,0.201174964,0.022097221,0.848047557,0.689619901,0.689619901,0.217618488,9310000000.0,0.000518876,0.264523549,0.378925897,0.008069242,0.007250897,0.630896837,0.006384337,0.121625299,0.878374701,0.019215619,0.373741565,0.006159208,0.111078542,0.200211145,0.404671346,0.242878561,0.000748684,0.008447722,0.000612389,0.009751256,0.052741935,0.124733046,0.413491328,0.001696566,0.788350764,0.511800269,0.536150014,0.038440057,0.007500876,0.00164453,0.12382881,0.344753042,0.277140823,0.001822974,0.963618553,0.734570129,0.331728108,0.0,0.948296672,0.002681175,0.013980394,924000000.0,9340000000.0,0.593933318,1970000000.0,0.671575855,0.011553423,0.963618553,0.331728108,0.110933234,0.651888156,0.461140062,0.580822037,0.315985426,0.035987425,0,0.832889625,0.00207009,0.623985569,0.599170531,0.842947903,0.279409231,0.026871717,0.565515314,1,0.030706404,0
